   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time,,,,,,,,,,<RANDOM,,,,,,,,,,,,   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
205,10952,10752,6510,1312,0,0,,,,,,,,,,,,,,,,,,,,,,205,303,100,0,803,0,0
206,10983,10782,7000,1328,0,502,,,,,,,,,,,,,,,,,,,,,,206,305,101,0,806,0,998
207,11012,10810,6007,1332,0,1000,,,,,,,,,,,,,,,,,,,,,,207,306,101,0,818,0,0
208,11160,10957,5509,1344,0,1000,,,,,,,,,,,,,,,,,,,,,,208,309,103,0,817,0,999
209,11343,11139,6502,1350,0,1004,,,,,,,,,,,,,,,,,,,,,,209,310,103,0,821,0,0
210,11491,11286,6002,1364,0,1000,,,,,,,,,,,,,,,,,,,,,,210,311,103,1001,826,0,0
211,11622,11416,6509,1372,0,0,,,,,,,,,,,,,,,,,,,,,,211,312,103,0,836,0,0
212,11806,11599,6505,1372,0,0,,,,,,,,,,,,,,,,,,,,,,212,313,103,1000,839,0,0
213,11968,11760,5999,1383,0,0,,,,,,,,,,,,,,,,,,,,,,213,314,103,0,842,0,998
214,12040,11831,7007,1380,0,0,,,,,,,,,,,,,,,,,,,,,,214,315,103,0,846,0,0
215,12067,11857,7509,1399,0,1000,,,,,,,,,,,,,,,,,,,,,,215,316,103,0,849,0,0
216,12070,11859,6528,1408,0,502,,,,,,,,,,,,,,,,,,,,,,216,317,103,0,858,0,1502
217,12083,11871,6519,1418,0,502,,,,,,,,,,,,,,,,,,,,,,217,318,103,0,860,0,0
218,12118,11905,6008,1416,0,0,,,,,,,,,,,,,,,,,,,,,,218,320,104,0,872,0,1004
219,12152,11938,7510,1429,0,0,,,,,,,,,,,,,,,,,,,,,,219,321,104,0,876,0,0
220,12197,11982,7510,1428,0,0,,,,,,,,,,,,,,,,,,,,,,220,322,104,0,879,0,0
221,12396,12180,7501,1428,0,1004,,,,,,,,,,,,,,,,,,,,,,221,323,104,0,882,0,0
222,12468,12251,7002,1443,0,0,,,,,,,,,,,,,,,,,,,,,,222,326,106,1000,888,0,0
223,12591,12373,7510,1456,0,1001,,,,,,,,,,,,,,,,,,,,,,223,327,106,0,895,0,998
224,12633,12414,6511,1476,0,999,,,,,,,,,,,,,,,,,,,,,,224,328,106,0,892,0,0
225,12673,12453,7510,1482,0,0,,,,,,,,,,,,,,,,,,,,,,225,330,107,0,895,0,1000
226,12779,12558,7003,1492,0,1502,,,,,,,,,,,,,,,,,,,,,,226,331,107,0,906,0,0
227,12926,12704,7007,1497,0,1000,,,,,,,,,,,,,,,,,,,,,,227,332,107,0,907,0,0
228,12972,12749,7511,1504,0,0,,,,,,,,,,,,,,,,,,,,,,228,333,107,0,907,0,0
229,13096,12872,8515,1502,0,0,,,,,,,,,,,,,,,,,,,,,,229,334,107,0,911,0,0
230,13127,12902,7507,1529,0,1003,,,,,,,,,,,,,,,,,,,,,,230,336,108,0,912,0,999
231,13205,12979,7503,1537,0,1004,,,,,,,,,,,,,,,,,,,,,,231,339,110,0,925,0,0
232,13341,13114,7003,1538,0,0,,,,,,,,,,,,,,,,,,,,,,232,342,112,0,943,0,1001
233,13456,13228,8510,1546,0,999,,,,,,,,,,,,,,,,,,,,,,233,343,112,0,949,0,0
234,13580,13351,7511,1552,0,1001,,,,,,,,,,,,,,,,,,,,,,234,344,112,0,948,0,502
235,13739,13509,7510,1559,0,1000,,,,,,,,,,,,,,,,,,,,,,235,345,112,0,960,0,0
236,13928,13697,7510,1571,0,998,,,,,,,,,,,,,,,,,,,,,,236,346,112,0,958,0,1004
237,14014,13782,8507,1571,0,0,,,,,,,,,,,,,,,,,,,,,,237,347,112,0,965,0,0
238,14030,13797,8507,1589,0,0,,,,,,,,,,,,,,,,,,,,,,238,349,113,1003,960,0,0
239,14197,13963,8007,1602,0,1502,,,,,,,,,,,,,,,,,,,,,,239,350,113,0,976,0,1000
240,14198,13963,8006,1601,0,0,,,,,,,,,,,,,,,,,,,,,,240,351,113,0,981,0,0
241,14363,14127,8012,1610,0,999,,,,,,,,,,,,,,,,,,,,,,241,353,114,0,990,0,999
242,14379,14142,7510,1615,0,1001,,,,,,,,,,,,,,,,,,,,,,242,356,116,0,992,0,0
243,14610,14372,8509,1627,0,1000,,,,,,,,,,,,,,,,,,,,,,243,357,116,0,993,0,0
244,14710,14471,7509,1630,0,0,,,,,,,,,,,,,,,,,,,,,,244,358,116,0,999,0,1001
245,14947,14707,8508,1636,0,999,,,,,,,,,,,,,,,,,,,,,,245,359,116,0,1005,0,0
246,15105,14864,8528,1651,0,983,,,,,,,,,,,,,,,,,,,,,,246,361,117,999,1015,0,0
247,15307,15065,8507,1658,0,1003,,,,,,,,,,,,,,,,,,,,,,247,363,118,0,1018,0,999
248,15412,15169,8509,1660,0,1004,,,,,,,,,,,,,,,,,,,,,,248,365,119,0,1025,0,0
249,15477,15233,9507,1667,0,0,,,,,,,,,,,,,,,,,,,,,,249,366,119,0,1035,0,0
250,15490,15245,9510,1681,0,0,,,,,,,,,,,,,,,,,,,,,,250,367,119,1502,1033,0,0
